sr_no,district,division,code_no,factory_name,type,tcd,crushing_mt,recovery_pct_2425,frp_rate_pmt,actual_price_payable_lakh,avg_ht_pmt_2425,net_frp_pmt,total_net_frp_payable_lakh,total_ht_paid_lakh,total_frp_paid_incl_ht_lakh,total_frp_paid_excl_ht_lakh,arrears_lakh,pct_frp_paid
1,Kolhapur,Kolhapur,38401.0,"Ajara Shetkari SSK Ltd. Gavase, Tal. Ajara, Dist. Kolhapur",Coop,2500.0,306880.606,11.9,4120.9,12646.24,926.86,3194.04,9801.89,2844.35,9059.8,6215.45,3586.44,63.41
2,Kolhapur,Kolhapur,16501.0,"Shri. Bhogavati SSK ltd.Parite, Tal.Karveer, Dist. Kolhapur",Coop,4000.0,416055.359,12.752,4415.69,18371.72,762.4,3653.29,15199.72,3172.01,8748.11,5576.1,9623.62,36.69
3,Kolhapur,Kolhapur,18001.0,"Shri Chatrapati Rajaram SSK Ltd.. KasabaBavada, Tal. Karvir, Dist Kolhapur",Coop,3500.0,2694.285,11.61,4020.56,108.33,857.12,3163.44,85.23,23.09,23.09,0.0,85.23,0.0
4,Kolhapur,Kolhapur,16901.0,"Shri Chatrapati Shau SSK Ltd.,Kagal, Tal.Kagal, Dist Kolhapur",Coop,7500.0,844987.442,12.49,4325.04,36546.04,945.3,3379.74,28558.38,7987.67,34270.23,26282.56,2275.82,92.03
5,Kolhapur,Kolhapur,16601.0,"Shri. Datt Shetkari SSK Ltd..Shiroi, Tal.Shiroi. Dist Kolhapur",Coop,12000.0,1111485.58,12.29,4255.84,47303.05,877.97,3377.87,37544.54,9758.51,47303.05,37544.54,0.0,100.0
6,Kolhapur,Kolhapur,16401.0,"Shri Dudhganga SSK Ltd..Bidri, Tal.Kagal, Dist Kolhapur",Coop,7500.0,774750.071,12.715,4402.89,34111.39,795.41,3607.48,27948.95,6162.44,32042.18,25879.74,2069.21,92.6
7,Kolhapur,Kolhapur,17201.0,"Kallappanna Awade Jawahar Shetakari SSK Ltd. Hupari, Tal. Hatkanangle, Dist.Kolhapur",Coop,16000.0,1489722.363,12.15,4207.4,62678.58,889.29,3318.11,49430.63,13247.95,63898.51,50650.56,-1219.93,100.0
8,Kolhapur,Kolhapur,50801.0,"Sadashivarao Mandalik SSK Ltd. Sadashivnagar, I lamidwada-Koulge, Tal. Kagal, Dist. Kolhapur",Coop,4000.0,444385.0,12.481,4321.93,19205.99,911.17,3410.76,15156.89,4049.1,13807.83,9758.73,5398.16,64.38
9,Kolhapur,Kolhapur,16301.0,"Kumbi Kasari SSK Ltd. Kuditrc.Tal.Karvcer, Dist. Kolhapur",Coop,5000.0,474369.334,12.651,4380.75,20780.92,822.36,3558.39,16879.89,3901.02,12558.32,8657.3,8222.59,51.29
10,Kolhapur,Kolhapur,16201.0,"Deshbakat Ratnappa Anna Kumbhar Panchganga SSK Ltd. Ganganagar. Ichalkaranji, Tal. Hatkanangle, Dist. Kolhapur",Coop,5000.0,654725.021,12.839,4445.79,29107.73,928.14,3517.65,23030.96,6076.76,24503.33,18426.57,4604.39,80.01
11,Kolhapur,Kolhapur,52501.0,"Sharad SSK Ltd. PO Narandc, Tal. Hatkanangle, Dist.Kolhapur",Coop,2500.0,428743.386,12.046,4171.42,17884.67,934.75,3236.67,13876.99,4007.68,18584.96,14577.28,-700.29,100.0
